corpus,file,line,office,section,lesson_span,lesson_count,author,work,source,author_line,incipit
Tempora,Tempora/Pasc7-6.txt,31,Sabbato Quattuor Temporum Pentecostes,Lectio1,Lectio1-3,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Liber 4 in cap. 4 Lucæ, circa finem",Homilía sancti Ambrósii Epíscopi,"Vide cleméntiam Dómini Salvatóris: nec indignatióne commótus nec scélere offénsus, nec injúria violátus Judǽam déserit: quin étiam ímmemor injúriæ, memor cleméntiæ, nunc docéndo, n"
Tempora,Tempora/Pent01-0.txt,193,Dominica Sanctissimæ Trinitatis,Lectio4,Lectio4,1,Augustinus Hipponensis,"Inter Opera Augustini, tom. 3","Inter Opera Augustini, tom. 3","Ex libro sancti Fulgéntii Epíscopi, de fide ad Petrum","Fides, quam sancti Patriárchæ atque Prophétæ ante incarnatiónem Fílii Dei divínitus accepérunt, quam étiam sancti Apóstoli ab ipso Dómino in carne pósito audiérunt, et Spíritus San"
Tempora,Tempora/Pent01-0.txt,228,Dominica Sanctissimæ Trinitatis,Lectio7,Lectio7-8,2,Gregorius Magnus,"In Tractatu de fide, post init.","In Tractatu de fide, post init.",Homilía sancti Gregórii Nazianzéni,"Quis catholicórum ignórat Patrem vere esse Patrem, Fílium vere esse Fílium, et Spíritum Sanctum vere esse Spíritum Sanctum? sicut ipse Dóminus ad Apóstolos suos dicit: Eúntes bapti"
Tempora,Tempora/Pent01-0.txt,261,Dominica Sanctissimæ Trinitatis,Lectio9,Lectio9,1,Augustinus Hipponensis,Sermones de verbis Domini,"Serm. 15. in Evang. Matthǽi de Verbis Dómini, post inítium",Homilía sancti Augustíni Epíscopi,"Duo sunt ópera misericórdiæ, quæ nos líberant, quæ bréviter ipse Dóminus pósuit in Evangélio: Dimíttite, et dimittétur vobis: date, et dábitur vobis. Dimíttite, et dimittétur vobis"
Tempora,Tempora/Pent01-4.txt,185,Festum Sanctissimi Corporis Christi,Lectio4,Lectio4-6,3,Thomas Aquinas,Sermones,Lectio iv in opusculo 57,Sermo sancti Thomæ Aquinátis,"Imménsa divínæ largitátis benefícia, exhíbita pópulo christiáno, inæstimábilem ei cónferunt dignitátem. Neque enim est, aut fuit aliquándo tam grandis nátio, quæ hábeat deos approp"
Tempora,Tempora/Pent01-4.txt,218,Festum Sanctissimi Corporis Christi,Lectio7,Lectio7,1,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,"Tractatus 26 in Joannem, sub finem",Homilía sancti Augustíni Epíscopi,"Cum cibo et potu id áppetant hómines, ut neque esúriant, neque sítiant: hoc veráciter non præstat, nisi iste cibus et potus, qui eos, a quibus súmitur, immortáles et incorruptíbile"
Tempora,Tempora/Pent01-5.txt,67,Feria Sexta infra octavam Corporis Christi,Lectio4,Lectio4-6,3,Thomas Aquinas,Sermones,In eodem Opusculo 57.,De Sermóne sancti Thomæ Aquinátis,"Cónvenit ítaque devotióni fidélium, solémniter recólere institutiónem tam salutíferi tamque mirábilis Sacraménti: ut ineffábilem modum divínæ præséntiæ in Sacraménto visíbili vener"
Tempora,Tempora/Pent01-5.txt,82,Feria Sexta infra octavam Corporis Christi,Lectio7,Lectio7,1,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,Tractatus 27 in Joánnem,De Homilía sancti Augustíni Epíscopi,"Verba Dómini ex Evangélio, quæ sermónem prístinum consequúntur, audívimus. Hinc sermo debétur áuribus et méntibus vestris, et hodiérna die non importúnus est: est enim de córpore D"
Tempora,Tempora/Pent01-6.txt,60,Sabbato infra octavam Corporis Christi,Lectio4,Lectio4-6,3,Ioannes Chrysostomus,Sermones,Hom. 61 ad pópulum Antiochenum,Sermo sancti Joánnis Chrysóstomi,"Necessárium est, dilectíssimi, mysteriórum díscere miráculum, quodnam sit, et quare sit datum, et quæ ejus rei utílitas. Unum corpus effícimur: membra, inquit, ex carne ejus et ex "
Tempora,Tempora/Pent01-6.txt,75,Sabbato infra octavam Corporis Christi,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,Tract. 27 in Joánn. ante medium.,De Homilía sancti Augustíni Epíscopi,"Díximus, fratres, hoc Dóminum commendásse in manducatióne carnis suæ et potatióne sánguinis sui, ut in illo maneámus, et ipse in nobis. Manémus autem in illo, cum sumus membra ejus"
Tempora,Tempora/Pent02-0.txt,61,Dominica II Post Pentecosten infra Octavam Corporis Christi,Lectio4,Lectio4-6,3,Ioannes Chrysostomus,Sermones,Ex Hom. 60 ad pop. Antioch,Sermo sancti Joánnis Chrysostomi,Quóniam Verbum dicit: Hoc est corpus meum; et assentiámur et credámus et intellectuálibus ipsum óculis intueámur. Nihil enim sensíbile nobis Christus trádidit; sed sensibílibus qui
Tempora,Tempora/Pent02-0.txt,76,Dominica II Post Pentecosten infra Octavam Corporis Christi,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 36 in Evangelia,Homilía sancti Gregórii Papæ,"Hoc distáre, fratres caríssimi, inter delícias córporis et cordis solet: quod corporáles delíciæ, cum non habéntur, grave in se desidérium accéndunt; cum vero ávide edúntur, comedé"
Tempora,Tempora/Pent02-0o.txt,33,,Lectio4,Lectio4-6,3,Ioannes Chrysostomus,Sermones,Ex Hom. 60. ad pop. Antioch.,Sermo sancti Joannis. Chrysostomi.,"Quoniam Verbum dicit: Hoc est corpus meum: et assentiamur, et credamus, et intellectualibus ipsum oculis intueamur. Nihil enim sensibile nobis Christus tradidit: sed sensibilibus q"
Tempora,Tempora/Pent02-0o.txt,48,,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 36. in Evangelia.,Homilia sancti Gregórii Papæ.,"Hoc distare, fratres carissimi, inter delicias corporis et cordis solet: quod corporales deliciæ, cum non habentur, grave in se desiderium accendunt: cum vero avide eduntur, comede"
Tempora,Tempora/Pent02-1.txt,55,Feria Secunda infra Octavam Corporis Christi,Lectio4,Lectio4,1,Ioannes Chrysostomus,Sermones,Homilia 60 ad populum Antiochenum,De Sermóne sancti Joánnis Chrysostomi,"Unicuíque fidélium Christus semetípsum per mystéria commíscet, et quos génuit, per semetípsum enútrit, nec álteri tradit; per hoc tibi rursum persuádens, quod carnem tuam assúmpsit"
Tempora,Tempora/Pent02-1.txt,70,Feria Secunda infra Octavam Corporis Christi,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,"Tract. 26. in Joánnem, post medium",De Homilía sancti Augustíni Epíscopi,"Hic est panis, qui de cælo descéndit. Hunc panem significávit manna, hunc panem significávit altáre Dei. Sacraménta illa fuérunt: in signis divérsa sunt; sed in re, quæ significátu"
Tempora,Tempora/Pent02-2.txt,54,Feria Tertia infra Octavam Corporis Christi,Lectio4,Lectio4-6,3,Cyprianus Carthaginiensis,Liber 2. Epistola 3. sub init.,Liber 2. Epistola 3. sub init.,Ex Epístola sancti Cypriáni Epíscopi et Mártyris ad Cæcílium,"In sacerdóte Melchísedech sacrifícii Domínici sacraméntum præfigurátum vidémus, secúndum quod Scriptúra divína testátur, et dicit: Et Melchísedech rex Salem prótulit panem et vinum"
Tempora,Tempora/Pent02-2.txt,69,Feria Tertia infra Octavam Corporis Christi,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,"Tractatus 26 in Joánnem, circa medium",De Homilía sancti Augustíni Epíscopi,"Non sicut manducavérunt patres vestri manna, et mórtui sunt. Quare manducavérunt, et mórtui sunt? Quia quod vidébant, credébant; quod non vidébant , non intelligébant. Ideo patres "
Tempora,Tempora/Pent02-3.txt,53,Feria Quarta infra Octavam Corporis Christi,Lectio4,Lectio4,1,Ambrosius Mediolanensis,"Lib. 4, Cap. 4","Lib. 4, Cap. 4",Ex libro sancti Ambrósii Epíscopi de Sacraméntis,"Auctor sacramentórum quis est, nisi Dóminus Jesus? De cælo ista sacraménta venérunt. Consílium enim omne de cælo est. Vere autem magnum est et divínum miráculum, quod pópulo pluit "
Tempora,Tempora/Pent02-3.txt,68,Feria Quarta infra Octavam Corporis Christi,Lectio7,Lectio7-9,3,Hilarius Pictaviensis,"Liber 8 de Trinitáte, ante medium","Liber 8 de Trinitáte, ante medium",Homilía sancti Hilárii Epíscopi,"Non est humáno aut sǽculi sensu in Dei rebus loquéndum. Quæ scripta sunt, legámus, et quæ legérimus, intelligámus; et tunc perféctæ fídei offício fungémur. De naturáli enim in nobi"
Tempora,Tempora/Pent02-4.txt,50,In Octava Sanctissimi Corporis Christi,Lectio4,Lectio4-6,3,Cyrillus Alexandrinus,Sermones,Catechesis mystagog. 4,Sermo sancti Cyrílli Epíscopi Jerosolymitáni,"Ipsa beáti Pauli doctrína abúnde suffícere vidétur, ut certam vobis de divínis mystériis fidem fáciat, quibus digni rédditi, concorpórei, ut ita dicam, et consanguínei Christi fact"
Tempora,Tempora/Pent02-4.txt,65,In Octava Sanctissimi Corporis Christi,Lectio7,Lectio7-9,3,Cyrillus Alexandrinus,"Liber 4 in Joánnem, cap. 17","Liber 4 in Joánnem, cap. 17",Homilía sancti Cyrílli Epíscopi Alexandríni,"Qui mandúcat, inquit, carnem meam et bibit sánguinem meum, in me manet, et ego in illo. Sicut enim si quis liquefáctæ ceræ áliam ceram infúderit, álteram cum áltera per totum commí"
Tempora,Tempora/Pent02-4o.txt,15,In Octava Sanctissimi Corporis Christi,Lectio4,Lectio4-6,3,Cyrillus Alexandrinus,Sermones,Catechesi mystagog. 4.,Sermo sancti Cyrilli Epíscopi Jerosolymitani.,"Ipsa beati Pauli doctrina abunde sufficere videtur, ut certam vobis de divinis mysteriis fidem faciat, quibus digni redditi, concorporei, ut ita dicam, et consanguinei Christi fact"
Tempora,Tempora/Pent02-4o.txt,30,In Octava Sanctissimi Corporis Christi,Lectio7,Lectio7-9,3,Cyrillus Alexandrinus,"Lib. 4. in Joánnem, cap. 17.","Lib. 4. in Joánnem, cap. 17.",Homilia sancti Cyrilli Epíscopi Alexandrini.,"Qui manducat, inquit, carnem meam, et bibit sanguinem meum, in me manet, et ego in illo. Sicuti enim si quis liquefactæ ceræ aliam ceram infuderit, alteram cum altera per totum com"
Tempora,Tempora/Pent02-5.txt,224,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio7,Lectio7,1,Bonaventura,"Liber de ligno vitæ, num. 30","Liber de ligno vitæ, num. 30",Homilía sancti Bonaventúræ Epíscopi,"Ut de látere Christi dormiéntis in cruce formarétur Ecclésia, et Scriptúra implerétur quæ dicit: Vidébunt in quem transfixérunt, divína est ordinatióne indúltum ut unus mílitum lán"
Tempora,Tempora/Pent02-5.txt,234,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio8,Lectio8,1,Unklarer Autor,"De vite mystica, cap. 3","De vite mystica, cap. 3",,"Quia semel vénimus ad Cor Dómini Jesu dulcíssimi, et bonum est nos hic esse, non fácile evellámur ab eo. O quam bonum et jucúndum habitáre in Corde hoc. Bonus thesáurus, pretiósa m"
Tempora,Tempora/Pent02-5o.txt,119,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio4,Lectio4,1,Bernardus Claraevallensis,Sermones,Sermo 3. de Passione.,De Sermóne sancti Bernardi Abbátis.,"Quia semel venímus ad Cor dulcíssimum Jesu, et bonum est nos hic esse, ne sinámus nos fácile avélli ab eo, de quo scriptum est: Recedéntes a te, in terra scribéntur. Quid autem acc"
Tempora,Tempora/Pent02-5o.txt,143,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio7,Lectio7,1,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,Tractatus 120. in Joánnem.,Homilía sancti Augustíni Epíscopi.,"Unus mílitum láncea latus ejus apéruit, et contínuo exívit sanguis et aqua. Vigilánti verbo Evangelísta usus est, ut non díceret: Latus ejus percússit, aut vulnerávit, aut quid áli"
Tempora,Tempora/Pent02-5o.txt,151,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio8,Lectio8,1,Ioannes Chrysostomus,Hom. 84.,Hom. 84.,De Homilía sancti Joánnis Chrysóstomi.,"Vides quanti sit véritas? Per ea quæ Judǽi fáciunt prophetía implétur: ália enim ex hoc manifestáta est. Venérunt ergo mílites, et aliórum fregérunt crura, non Christi; sed ad Judæ"
Tempora,Tempora/Pent02-5o.txt,164,Sacratissimi Cordis Domini Nostri Jesu Christi,Lectio9,Lectio9,1,Bonaventura,Liber de ligno Vitæ.,Liber de ligno Vitæ.,De Homilía sancti Bonaventúræ Epíscopi.,"Porro ut de látere Christi dormiéntis formarétur Ecclésia, divína est ordinatióne indúltum, ut unus mílitum láncea latus sacrum illud aperiéndo perfóderet, quátenus sánguine cum aq"
Tempora,Tempora/Pent02-6.txt,60,Die II infra Octavam SSmi Cordis Jesu,Lectio7,Lectio7-9,3,Ioannes Chrysostomus,Homiliae,"Homilia 85, alias 84 in Joánnem, num. 3",Homilía sancti Joánnis Chrysóstomi,"Viden, quam fortis sit véritas? Per Judæórum stúdia implétur prophetía. Alia quoque prædíctio finem áccipit. Veniéntes enim mílites aliórum fregérunt crura, Christi non item. Attam"
Tempora,Tempora/Pent03-0.txt,69,Dominica III Post Pentecosten infra Octavam SSmi Cordis D.N.J.C,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,"Homilia 34 in Evangelium, n. 2-3, post initium",Homilía sancti Gregórii Papæ,"Audístis in lectióne evangélica, fratres mei, quia peccatóres et publicáni accessérunt ad Redemptórem nostrum; et non solum ad colloquéndum, sed étiam ad convescéndum recépti sunt."
Tempora,Tempora/Pent03-0o.txt,43,Dominica III Post Pentecosten,Lectio4,Lectio4,1,Gregorius Magnus,"Lib. 4, cap. 5 in I Reg. c. 10","Lib. 4, cap. 5 in I Reg. c. 10",De Expositióne sancti Gregórii Papæ in libros Regum,"Tulit autem Sámuel lentículam ólei, et effúdit super caput ejus. Hoc profécto hac unctióne exprímitur, quod in sancta Ecclésia nunc étiam materiáliter exhibétur: quia qui in cúlmin"
Tempora,Tempora/Pent03-1.txt,49,Die IV infra Octavam SSmi Cordis Jesu,Lectio7,Lectio7,1,sancti Lauréntii Justiniáni Epíscopi,"De triumpháli Christi agóne, cap. 21","De triumpháli Christi agóne, cap. 21",Homilía sancti Lauréntii Justiniáni Epíscopi,"Ad Jesum ígitur cum veníssent, illúmque jam mórtuum conspexíssent, ipsíus mínime crura fregérunt, verum astántium unus, vibráta láncea, latus ejus apéruit, et contínuo exívit sangu"
Tempora,Tempora/Pent03-2.txt,52,Die V infra Octavam SSmi Cordis Jesu,Lectio7,Lectio7-9,3,Bernardus Claraevallensis,Homilia sancti Bernardíni Senénsis,Homilia sancti Bernardíni Senénsis,Léctio sancti Evangélii secúndum Joánnem,Joánnes subdit: Unus mílitum láncea latus ejus apéruit et contínuo exívit sanguis et aqua. O amor qui ómnia liquas! quómodo pro redemptióne nostra reliquísti dilectórem nostrum? Na
Tempora,Tempora/Pent03-3.txt,51,Die VI infra Octavam SSmi Cordis Jesu,Lectio7,Lectio7,1,Petrus Canisius,Homilia sancti Petri Canísii Presbýteri,Homilia sancti Petri Canísii Presbýteri,Léctio sancti Evangélii secúndum Joánnem,"Diligénter tecum ánimo versa, quam ineffábilis fúerit illa cáritas qua Deus summus, in máximis Cordis angústiis et totíus mundi oppróbriis, pro te vilíssimo vermículo illam crucis "
Tempora,Tempora/Pent03-3.txt,55,Die VI infra Octavam SSmi Cordis Jesu,Lectio8,Lectio8,1,Unklarer Autor,In Evang. Dominica I post Pascha,In Evang. Dominica I post Pascha,,"Quare, ne prorsus ingrátus sim, hos perénnes fontes donórum ac bonórum ómnium mihi ob óculos sæpe propónam, cum de illis dulcíssima exstet promíssio: Hauriétis aquas in gáudio de f"
Tempora,Tempora/Pent03-3.txt,59,Die VI infra Octavam SSmi Cordis Jesu,Lectio9,Lectio9,1,Unklarer Autor,Medit. 6,Medit. 6,,"Et tu in omni tentatióne fuge diligénter in amábile Christi Cor, ejúsque bonitátem et caritátem tibi propóne, et cum illa confer tuam vilitátem, malítiam, infidelitátem, arrogántia"
Tempora,Tempora/Pent03-4.txt,54,Die VII infra Octavam SSmi Cordis Jesu,Lectio7,Lectio7,1,Cyrillus Alexandrinus,Comm. in Joann. Lib. 12 Cap. 19,Comm. in Joann. Lib. 12 Cap. 19,Homilía sancti Cyrílli Alexandríni,"Non hæc ait beátus Evangelísta, quasi pietátem ullam efferátis et crudélibus Judǽis tríbuat, sed ut osténdat stulte eos et imperíte excoláre cúlicem, et camélum deglutíre sicut a C"
Tempora,Tempora/Pent03-5.txt,35,In Octava SSmi Cordis Jesu,Lectio4,Lectio4-6,3,Bernardus Claraevallensis,Sermones super Cantica canticorum,"Sermo 61 in Cantica Canticorum, nn. 3-5",Sermo sancti Bernárdi Abbátis,"Revéra ubi tuta firmáque infírmis secúritas et réquies, nisi in vulnéribus Salvatóris? Tanto illic secúrior hábito, quanto ille poténtior est ad salvándum. Fremit mundus, premit co"
Tempora,Tempora/Pent03-5.txt,50,In Octava SSmi Cordis Jesu,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,"Tractatus 120 in Joánnem, nn. 2-3",Homilía sancti Augustíni Epíscopi,"Ad Jesum autem cum veníssent, ut vidérunt eum jam mórtuum, non fregérunt ejus crura, sed unus mílitum láncea latus ejus apéruit, et contínuo exívit sanguis et aqua. Vigilánti verbo"
Tempora,Tempora/Pent04-0.txt,65,Dominica IV Post Pentecosten,Lectio4,Lectio4-6,3,Augustinus Hipponensis,Sermones,Sermo 197 de Temp. circa med.,Sermo sancti Augustíni Epíscopi,"Stabant fílii Israël contra adversários quadragínta diébus. Quadragínta dies, propter quátuor témpora et quátuor partes orbis terræ, vitam præséntem signíficant, in qua contra Góli"
Tempora,Tempora/Pent04-0.txt,89,Dominica IV Post Pentecosten,Lectio7,Lectio7-9,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,Liber 4 in Lucæ cap. 5 prope finem libri,Homilía sancti Ambrósii Epíscopi,"Ubi Dóminus multis impartívit varia génera sanitátum, nec témpore, nec loco pótuit ab stúdio sanándi turba cohibéri. Vesper incúbuit sequebántur: stagnum occúrrit, urgébant: et íde"
Tempora,Tempora/Pent05-0.txt,64,Dominica V Post Pentecosten,Lectio4,Lectio4,1,Gregorius Magnus,"Liber 4, Cap. 3 et 4","Liber 4, Cap. 3 et 4",Ex libro Morálium sancti Gregórii Papæ,"Quid est quod David, qui retribuéntibus sibi mala non réddidit, cum Saul et Jónathas bello occúmberent, Gélboë móntibus maledíxit, dicens: Montes Gélboë, nec ros nec plúvia véniant"
Tempora,Tempora/Pent05-0.txt,88,Dominica V Post Pentecosten,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Sermones,"Liber 1 de Sermóne Dómini in monte, cap. 9",Homilía sancti Augustíni Epíscopi,"Justítia pharisæórum est, ut non occídant: justítia eórum, qui intratúri sunt in regnum cælórum, ut non irascántur sine causa. Mínimum est ergo, non occídere; et qui illud sólverit"
Tempora,Tempora/Pent05-0o.txt,24,,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Sermones,Liber 1. de Sermone Domini in monte. cap. 9.,Homilía sancti Augustíni Epíscopi.,"Justitia pharisæorum est, ut non occidant: justitia eorum qui intraturi sunt in regnum cælorum, ut non irascantur sine causa. Minimum est ergo, non occidere: et qui illud solverit,"
Tempora,Tempora/Pent06-0.txt,65,Dominica VI Post Pentecosten,Lectio4,Lectio4,1,Ambrosius Mediolanensis,Apologia David,"Apolog. 1, c. 2",Ex libro sancti Ambrósii Epíscopi de Apología David,"Unusquísque nostrum per síngulas horas quam multa delínquit! nec tamen unusquísque de plebe peccátum suum confiténdum putat. Ille rex, tantus ac potens, ne exíguo quidem moménto ma"
Tempora,Tempora/Pent06-0.txt,89,Dominica VI Post Pentecosten,Lectio7,Lectio7-9,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Liber 6 in Lucæ cap. 9, post initium",Homilía sancti Ambrósii Epíscopi,"Posteáquam illa, quæ Ecclésiæ typum accépit, a fluxu curáta est sánguinis, posteáquam Apóstoli ad evangelizándum regnum Dei sunt destináti, grátiæ cæléstis impartítur aliméntum. Se"
Tempora,Tempora/Pent07-0.txt,62,Dominica VII Post Pentecosten,Lectio4,Lectio4,1,Hieronymus Stridonensis,Epistulae,"Epist. 2, tom. 1",Ex Epístola sancti Hierónymi Presbýteri ad Nepotiánum,"David annos natus septuagínta, bellicósus quondam vir, senectúte frigescénte, non póterat calefíeri. Quǽritur ítaque puélla de univérsis fínibus Israël Abísag Sunamítis, quæ cum re"
Tempora,Tempora/Pent07-0.txt,86,Dominica VII Post Pentecosten,Lectio7,Lectio7-9,3,Hilarius Pictaviensis,Comment. in Matth. can. 6,Comment. in Matth. can. 6,Homilía sancti Hilárii Epíscopi,"Blandiménta verbórum et mansuetúdinis simulatiónem ádmonet fructu operatiónis expéndi oportére; ut non qualem quis verbis réferat, sed qualem se rebus effíciat, spectémus; quia in "
