corpus,file,line,office,section,lesson_span,lesson_count,author,work,source,author_line,incipit
Commune,Commune/C1.txt,198,Commune Apostolorum,Lectio4,Lectio4,1,Gregorius Magnus,Homiliae in Evangelia,"Homilia 30 in Evangelia, post medium",Sermo sancti Gregórii Papæ,"Scriptum est: Spíritus Dómini ornávit cælos. Ornaménta enim cælórum sunt virtútes prædicántium. Quæ vidélicet ornaménta Paulus enúmerat, dicens: Álii datur per Spíritum sermo sapié"
Commune,Commune/C1.txt,233,Commune Apostolorum,Lectio7,Lectio7-9,3,Hieronymus Stridonensis,Commentarii in Matthaeum,Lib. 3. in Matth. cap. 19.,Homilía sancti Hierónymi Presbýteri.,"Grandis fidúcia! Petrus piscátor erat, dives non fúerat, cibos manu et arte quærébat: et tamen lóquitur confidénter: Relíquimus ómnia. Et quia non súfficit tantum relínquere, jungi"
Commune,Commune/C1.txt,334,Commune Apostolorum,Lectio4 in 2 loco,Lectio4-5,2,Augustinus Hipponensis,Ante medium,Ante medium,De Expositióne sancti Augustíni Epíscopi super psalmum octogésimum sextum,Fundaménta ejus in móntibus sanctis: díligit Dóminus portas Sion. Quare sunt fundaménta Apóstoli et Prophétæ? Quia eórum auctóritas portat infirmitátem nostram. Quare sunt portæ? Q
Commune,Commune/C1.txt,349,Commune Apostolorum,Lectio7 in 2 loco,Lectio7-9,3,Beda Venerabilis,Homilia in Natali S. Benedicti Ep.,Homilia in Natali S. Benedicti Ep.,Homilía sancti Bedæ Venerábilis Presbýteri,"Perféctus ille est, qui ábiens vendit ómnia quæ habet, et dat paupéribus, ac véniens séquitur Christum; habébit enim thesáurum non deficiéntem in cælis. Unde bene, interrogánte Pet"
Commune,Commune/C10.txt,123,Sanctæ Mariæ Sabbato,Lectio M01,Lectio M01,1,Ambrosius Mediolanensis,"Epist. 81, alias 7, post initium","Epist. 81, alias 7, post initium",Ex Epístola sancti Ambrósii Epíscopi ad Sirícium Papam,"De via perversitátis prodúntur dícere: Virgo concépit, sed non virgo generávit. Pótuit ergo virgo concípere, non pótuit virgo generáre, cum semper concéptus præcédat, partus sequát"
Commune,Commune/C10.txt,129,Sanctæ Mariæ Sabbato,Lectio M02,Lectio M02,1,Hieronymus Stridonensis,"Apologia ad Pammachium pro lib. adversus Jovinianum, in fine","Apologia ad Pammachium pro lib. adversus Jovinianum, in fine",Ex libro sancti Hierónymi Presbýteri advérsus Joviniánum,"Christus virgo, Mater vírginis nostri virgo perpétua, mater et virgo. Jesus enim clausis ingréssus est óstiis; et in sepúlcro ejus, quod novum et in petra duríssima fúerat excísum,"
Commune,Commune/C10.txt,135,Sanctæ Mariæ Sabbato,Lectio M03,Lectio M03,1,Irenaeus Lugdunensis,"Lib. 5, c. 19","Lib. 5, c. 19",Ex libro sancti Irenǽi Epíscopi et Mártyris advérsus hǽreses,"In sua própria veniénte Dómino et sua própria eum bajulánte conditióne, quæ bajulátur ab ipso, et recapitulatiónem ejus quæ in ligno fuit inobediéntiæ, per eam quæ in ligno est obe"
Commune,Commune/C10.txt,141,Sanctæ Mariæ Sabbato,Lectio M04,Lectio M04,1,Hieronymus Stridonensis,Lib. 13 in cap. 44,Lib. 13 in cap. 44,De Expositióne sancti Hierónymi Presbýteri in Ezechiélem Prophétam,"Porta hæc clausa erit, et non aperiétur. Pulchre quidam portam clausam, per quam solus Dóminus Deus Israël ingréditur, et dux cui porta clausa est, Maríam Vírginem intéllegunt, quæ"
Commune,Commune/C10.txt,147,Sanctæ Mariæ Sabbato,Lectio M05,Lectio M05,1,Unklarer Autor,Lib. 3 cap. 4 in fine,Lib. 3 cap. 4 in fine,,"Per féminam mors, per féminam vita: per Hevam intéritus, per Maríam salus. Illa, corrúpta, secúta est seductórem: hæc, íntegra, péperit Salvatórem. Illa póculum a serpénte propinát"
Commune,Commune/C10.txt,153,Sanctæ Mariæ Sabbato,Lectio M06,Lectio M06,1,Bernardus Claraevallensis,Sermones,"De Verbis Apocalypsis cap. 12, Signum magnum",Sermo sancti Bernárdi Abbátis,"Veheménter quidem nobis, dilectíssimi, vir unus et múlier una nocuére; sed, grátias Deo, per unum nihilóminus virum et mulíerum unam ómnia restaurántur, nec sine magno fǽnore grati"
Commune,Commune/C10.txt,159,Sanctæ Mariæ Sabbato,Lectio M07,Lectio M07,1,Ambrosius Mediolanensis,"Epist. 81, alias 7, circa medium","Epist. 81, alias 7, circa medium",Ex Epístola sancti Ambrósii Epíscopi ad Sirícium Papam,"Non excédit fidem, quod homo exívit de vírgine, quando petra fontem prófluum scaturívit, ferrum super aquas natávit, ambulávit homo super aquas. Ergo si hóminem unda portávit, non "
Commune,Commune/C10.txt,165,Sanctæ Mariæ Sabbato,Lectio M08,Lectio M08,1,Gregorius Magnus,In 1 Reg. 1,In 1 Reg. 1,De Expositióne sancti Gregórii Papæ in libros Regum,"Fuit vir unus de Ramáthaim Sophim, de monte Ephraim. Potest, hujus montis nómine, beatíssima semper Virgo María, Dei Génetrix, designári. Mons quippe fuit, quæ omnem eléctæ creatúr"
Commune,Commune/C10.txt,171,Sanctæ Mariæ Sabbato,Lectio M09,Lectio M09,1,Augustinus Hipponensis,"Epist. 13, ante medium","Epist. 13, ante medium",Ex Epístola sancti Leónis Papæ ad Pulchériam Augústam,"Sacraméntum reconcilatiónis nostræ, ante témpora ætérna dispósitum, nullæ implébant figúræ; quia nondum supervénerat Spíritus Sanctus in Vírginem nec virtus Altíssimi obumbráverat "
Commune,Commune/C10.txt,177,Sanctæ Mariæ Sabbato,Lectio M10,Lectio M10,1,Bernardus Claraevallensis,Sermones,"Serm. in cap. 12 Apoc., ante med.",Sermo sancti Bernárdi Abbátis,"Amplectámur Maríæ vestígia, fratres mei, et devotíssima supplicatióne beátis illíus pédibus provolvámur. Teneámus eam nec dimittámus, donec benedíxerit nobis; potens est enim. Nemp"
Commune,Commune/C10.txt,183,Sanctæ Mariæ Sabbato,Lectio M101,Lectio M101,1,Bernardus Claraevallensis,Sermones,In Dom. infra Oct. Assumpt. B. Mariæ Virg.,Sermo sancti Bernárdi Abbátis,"Quid ergo sidéreum micat in generatióne Maríæ? Plane quod ex régibus orta, quod ex sémine Abrahæ, quod generósa ex stripe Davi. Si id parum vidétur, adde quod generatióni illi ob s"
Commune,Commune/C10.txt,189,Sanctæ Mariæ Sabbato,Lectio M11,Lectio M11,1,Unklarer Autor,In cap. 8 post initium,In cap. 8 post initium,,"Accéssi, inquit, ad prophetíssam, et in útero accépit et péperit fílium. Quod María prophetíssa fúerit, ad quam próxime accéssit Isaías per prænotiónem spíritus, nemo contradíxerit"
Commune,Commune/C10.txt,195,Sanctæ Mariæ Sabbato,Lectio M12,Lectio M12,1,Ambrosius Mediolanensis,"Lib. 1, cap. 18","Lib. 1, cap. 18",Ex libro Officiórum S. Ambrósii Epíscopi,"Bonus regéndæ castitátis pudor est comes, qui primus, in ipso cognitiónis ingréssu, Dómini Matrem comméndat legéntibus, et tamquam testis lócuples dignam quæ ad tale munus eligerét"
Commune,Commune/C11.txt,188,In Festis Beatae Mariae Virginis,Lectio4,Lectio4-5,2,Ioannes Chrysostomus,Sermones,Apud Metaphrasten,Sermo sancti Joánnis Chrysóstomi,"Dei Fílius non dívitem aut locuplétem áliquam féminam sibi matrem elégit, sed beátam Vírginem illam, cujus ánima virtútibus ornáta erat. Cum enim beáta María supra omnem humánam na"
Commune,Commune/C11.txt,223,In Festis Beatae Mariae Virginis,Lectio7,Lectio7,1,Beda Venerabilis,Expositio in Lucam / homiliae de tempore,Lib 4. cap. 49. in Luc. 11.,Homilía sancti Bedæ Venerábilis Presbýteri,"Magnæ devotiónis et fídei hæc múlier osténditur, quæ, scribis et pharisǽis Dóminum tentántibus simul et blasphemántibus, tanta ejus incarnatiónem præ ómnibus sinceritáte cognóscit,"
Commune,Commune/C1a.txt,30,Commune Evangelistarum,Lectio4,Lectio4-6,3,Gregorius Magnus,Homiliae,"Homilia 3, Lib. 1",De Expositióne sancti Gregórii Papæ super Ezechiélem Prophétam,"Sancta quátuor animália, quæ prophetíæ spíritu futúra prævidéntur, subtíli narratióne describúntur, cum dícitur: Quátuor fácies uni, et quátuor pennæ uni. Quid per fáciem, nisi not"
Commune,Commune/C1a.txt,45,Commune Evangelistarum,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 17 in Evangelia,Homilía sancti Gregórii Papæ,"Dóminus et Salvátor noster, fratres caríssimi, aliquándo nos sermónibus, aliquándo vero opéribus ádmonet. Ipsa étenim facta ejus præcépta sunt: quia dum áliquid tácitus facit, quid"
Commune,Commune/C1v.txt,36,Vigilia Apostolorum,Lectio1,Lectio1-3,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 27. in Evangelia.,Homilía S. Gregórii Papæ.,"Cum cuncta sacra elóquia Domínicis plena sint præcéptis quid est quod de dilectióne, quasi de singulári mandáto, Dóminus dicit, Hoc est præcéptum meum, ut diligátis ínvicem: nisi q"
Commune,Commune/C2.txt,143,Commune Unius Martyris Pontificis,Lectio4,Lectio4,1,Augustinus Hipponensis,Sermones,Sermo 44 de Sanctis,Sermo sancti Augustíni Epíscopi,"Triumphális beáti Mártyris N. dies hódie nobis anniversária celebritáte recúrrit: cujus glorificatióni sicut congáudet Ecclésia, sic ejus propónit sequénda vestígia. Si enim compát"
Commune,Commune/C2.txt,178,Commune Unius Martyris Pontificis,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homil. 37 in Evangelia,Homilía sancti Gregórii Papæ,"Si considerémus fratres caríssimi, quæ et quanta sunt, quæ nobis promittúntur in cælis, viléscunt ánimo ómnia quæ habéntur in terris. Terréna namque substántia supérnæ felicitáti c"
Commune,Commune/C2.txt,299,Commune Unius Martyris Pontificis,Lectio4 in 2 loco,Lectio4,1,Ambrosius Mediolanensis,Sermones,"Sermo 21, n. 7 et 8",De Expositióne sancti Ambrósii Epíscopi in Psalmum centésimum décimum octávum,"Príncipes persecúti sunt me gratis: et a verbis tuis trepidávit cor meum. Bene hoc Martyr dicit, quod injúste persecutiónum torménta sustineat; qui nihil rapúerit, nullum violentus"
Commune,Commune/C2.txt,314,Commune Unius Martyris Pontificis,Lectio7 in 2 loco,Lectio7-9,3,Gregorius Magnus,Homiliae,Homilia 32 in Evang.,Homilía sancti Gregórii Papæ,"Quia Dóminus ac Redémptor noster novus homo venit in mundum, nova præcépta dedit mundo. Vitæ étenim nostræ véteri in vítiis enutrítæ contrarietátem oppósuit novitátis suæ. Quid eni"
Commune,Commune/C2.txt,339,Commune Unius Martyris Pontificis,Lectio7 in 4 loco,Lectio7-9,3,Hilarius Pictaviensis,"Comment. in Matthaeum, can. 10 post medium","Comment. in Matthaeum, can. 10 post medium",Homilía sancti Hilárii Epíscopi,"Dóminus diem judícii osténdit, quæ abstrúsam voluntátis nostræ consciéntiam prodet: et ea quæ nunc occúlta existimántur, luce cognitiónis públicæ déteget. Ígitur non minas, non con"
Commune,Commune/C2p.txt,52,Commune unius Martyris Tempore Paschali,Lectio4,Lectio4-5,2,Ambrosius Mediolanensis,Sermones,Serm. 22,Sermo sancti Ambrosii Episcopi,"Dignum et cóngruum est, fratres, ut post lætítiam Paschæ, quam in Ecclésia celebrávimus, gáudia nostra cum sanctis Martýribus conferámus: et iis annuntiémus Domínicæ resurrectiónis"
Commune,Commune/C2p.txt,81,Commune unius Martyris Tempore Paschali,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Tractatus in Iohannis Evangelium,Tract. 80 in Joannem,Homilía sancti Augustíni Epíscopi,"Iste locus evangélicus, fratres, ubi se dicit Dóminus vitem, et discípulos suos pálmites, secúndum hoc dicit, quod est caput Ecclésiæ, nosque membra ejus, mediátor Dei et hóminum, "
Commune,Commune/C2p.txt,105,Commune unius Martyris Tempore Paschali,Lectio4 in 2 loco,Lectio4-5,2,Cyprianus Carthaginiensis,Lib. 2. Epist. 6.,Lib. 2. Epist. 6.,De Epístola sancti Cypriáni Epíscopi et Mártyris ad Mártyres et Confessóres.,"Quibus ego vos láudibus prǽdicem, fortíssimi Mártyres? robur péctoris vestri, et perseverántiam fídei, quo præcónio vocis exórnem? Tolerástis usque ad consummatiónem glóriæ duríssi"
Commune,Commune/C2p.txt,120,Commune unius Martyris Tempore Paschali,Lectio7 in 2 loco,Lectio7-9,3,Augustinus Hipponensis,"Tract. 81 in Joan., sub med.","Tract. 81 in Joan., sub med.",Homilía sancti Augustíni Epíscopi,"Ne quisquam putáret saltem parvum áliquem fructum posse a semetípso pálmitem ferre: cum dixísset, Hic fert fructum multum; non ait, Quia sine me parum potéstis fácere; sed, Nihil p"
Commune,Commune/C3.txt,199,Commune Plurimorum Martyrum Pontificum,Lectio4,Lectio4,1,Augustinus Hipponensis,Sermones,Serm. 47. de Sanctis.,Sermo sancti Augustíni Epíscopi,"Quotiescúmque fratres caríssimi, sanctórum Mártyrum solémnia celebrámus, ita, ipsis intercedéntibus, exspectémus a Dómino cónsequi temporália benefícia, ut ipsos Mártyres imitándo "
Commune,Commune/C3.txt,234,Commune Plurimorum Martyrum Pontificum,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 35 in Evangel.,Homilía sancti Gregórii Papæ,"Dóminus ac Redémptor noster peritúri mundi præcurréntia mala denúntiat, ut eo minus pertúrbent veniéntia, quo fúerint præscíta. Minus enim jácula fériunt, quæ prævidéntur: et nos t"
Commune,Commune/C3.txt,358,Commune Plurimorum Martyrum Pontificum,Lectio4 in 2 loco,Lectio4-5,2,Ioannes Chrysostomus,Sermones,"Sermo 1 de Martyribus, tom. 3.",Sermo sancti Joánnis Chrysóstomi,"Nemo est, qui nésciat, Mártyrum glórias ad hoc divíno consílio a Dei pópulis frequentári, ut et illis débitus honor dicétur, et nobis virtútis exémpla, favénte Christo, monstréntur"
Commune,Commune/C3.txt,373,Commune Plurimorum Martyrum Pontificum,Lectio7 in 2 loco,Lectio7,1,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Lib. 5. in Lucam. Cap. 6., post init.",Homilía sancti Ambrósii Epíscopi,"Advérte ómnia diligénter, quómodo et cum Apóstolis ascéndat et descéndat ad turbas. Quómodo enim turba nisi in húmili Christum vidéret? Non séquitur ad excélsa, non ascéndit ad sub"
Commune,Commune/C4.txt,178,Commune unius Confessoris Pontificis,Lectio4,Lectio4-5,2,Maximus Taurinensis,Sermones,"Homilia 78, quæ est 2 de S. Eusebio Vercellensi",Sermo sancti Maxími Epíscopi,"Ad sancti ac beatíssimi Patris nostri N., cujus hódie festa celebrámus, laudes addidísse áliquid, decerpsísse est; síquidem virtútem ejus grátia, non sermónibus exponénda est, sed "
Commune,Commune/C4.txt,213,Commune unius Confessoris Pontificis,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 9 in Evangelia,Homilía sancti Gregórii Papæ,"Léctio sancti Evangélii, fratres caríssimi, solícite consideráre nos ádmonet, ne nos, qui plus céteris in hoc mundo accepísse áliquid cérnimur, ab Auctóre mundi grávius inde judicé"
Commune,Commune/C4.txt,355,Commune unius Confessoris Pontificis,Lectio4 in 2 loco,Lectio4-6,3,Maximus Taurinensis,Sermones,"Homilía 78, de S. Eusebio 2, circa medio",Sermo sancti Maxími Epíscopi,"Beáti Patris N. mérita, jam in tuto pósita, secúri magnificémus; qui, gubernáculum fídei viríliter tenens, ánchoram spei tranquílla jam in statióne compósuit, et plenam cæléstibus "
Commune,Commune/C4.txt,370,Commune unius Confessoris Pontificis,Lectio7 in 2 loco,Lectio7,1,Hilarius Pictaviensis,Comment. in Matth. Can 26,Comment. in Matth. Can 26,Homilía sancti Hilárii Epíscopi,"Ut ignorántiam illam diéi ómnibus táciti, non sine útilis siléntii ratióne esse scirémus, vigiláre nos Dóminus propter advéntum furis admónuit, et oratiónum assiduitáte deténtos óm"
Commune,Commune/C4.txt,374,Commune unius Confessoris Pontificis,Lectio8 in 2 loco,Lectio8,1,Unklarer Autor,Can 27,Can 27,,"Quisnam est fidélis servus et prudens, quem constítuit Dóminus super famíliam suam? Quamquam in commúne nos ad indeféssam vigilántiæ curam adhortétur: speciálem tamen pópuli princí"
Commune,Commune/C4.txt,386,Commune unius Confessoris Pontificis,Lectio7 in 4 loco,Lectio7-9,3,Beda Venerabilis,In Natali S. Benedicti,In Natali S. Benedicti,De Homilía venerábilis Bedæ Presbýteri,"Duo sunt órdines electórum in judício futúri: unus judicántium cum Dómino, de quibus hoc loco mémorat, qui reliquérunt ómnia, et secúti sunt illum: alius judicandórum a Dómino, qui"
Commune,Commune/C4a.txt,51,Commune Doctoris Pontificis,Lectio4,Lectio4,1,Gregorius Magnus,"Lib. 9. cap. 11., n. 45","Lib. 9. cap. 11., n. 45",Ex libro Morálium sancti Gregórii Papæ,"Qui, post Oríonas, Hýadum nómine, nisi Doctóres sanctæ Ecclésiæ designántur? Qui, subdúctis Martýribus, eo jam témpore ad mundi notítiam venérunt, quo fides clárius elúcet, et, rep"
Commune,Commune/C4a.txt,66,Commune Doctoris Pontificis,Lectio7,Lectio7-9,3,Augustinus Hipponensis,Sermones,"Lib. 1 de Sermone Domini in monte, cap. 6",Homilía sancti Augustíni Epíscopi,"Osténdit Dóminus fátuos esse judicándos, qui temporálium bonórum vel cópiam sectántes vel inópiam metuéntes, amíttunt ætérna, quæ nec dari possunt ab homínibus nec auférri. Itaque,"
Commune,Commune/C4a.txt,93,Commune Doctoris Pontificis,Lectio7 in 2 loco,Lectio7,1,Hilarius Pictaviensis,"Comm. in Matthæum, cap. 4, n. 10","Comm. in Matthæum, cap. 4, n. 10",Homilía sancti Hilárii Epíscopi,"Vos estis sal terræ: Quod si sal infatuátum fúerit, ad níhilum valet id quod saliétur. Sal, ut árbitror, terræ nullum est. Quómodo ergo Apóstolos sal terræ nuncupávit? Sed propríet"
Commune,Commune/C4a.txt,109,Commune Doctoris Pontificis,Lectio7 in 3 loco,Lectio7-9,3,Ioannes Chrysostomus,Homiliae in Matthaeum,"Homilia 15 in Matthæum, sub medium",Homilía sancti Joánnis Chrysóstomi,"Atténdite quid díxerit, Vos estis sal terræ: per quod osténdit quam necessário ista præcípiat. Non enim de vestra, inquit, tantúmmodo vita, sed de univérso orbe vobis ratio reddénd"
Commune,Commune/C5.txt,80,Commune Confessoris non pontificis,Lectio4,Lectio4-5,2,Ioannes Chrysostomus,Sermones,In Orat. de S. Philogonio,Sermo sancti Joánnis Chrysóstomi,"Beáti N. dies, cujus festivitátem celebrámus, ad ipsíus recte factórum enarrationem línguam nostram evocavit. Síquidem hódie beátus iste ad tranquillam, omnísque perturbationis exp"
Commune,Commune/C5.txt,115,Commune Confessoris non pontificis,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae,Homilia 13 in Evang.,Homilía sancti Gregórii Papæ,"Sancti Evangélii, fratres caríssimi, apérta vobis est léctio recitata. Sed ne alíquibus ipsa ejus planíties alta fortásse videátur, eam sub brevitáte transcúrrimus, quátenus ejus e"
Commune,Commune/C5.txt,296,Commune Confessoris non pontificis,Lectio4 in 2 loco,Lectio4-5,2,Gregorius Magnus,Moralia in Iob,Lib. 10. cap. 16. in cap. 12. Job.,Ex libro Moralium sancti Gregorii Papæ.,"Deridétur justi simplícitas. Hujus mundi sapiéntia est, cor machinatiónibus tégere, sensum verbis veláre: quæ falsa sunt, vera osténdere; quæ vera sunt, falsa demonstráre. Hæc nimí"
Commune,Commune/C5.txt,303,Commune Confessoris non pontificis,Lectio6 in 2 loco,Lectio6,1,Unklarer Autor,Cap. 17 post init.,Cap. 17 post init.,,"Lampas contémpta apud cogitatiónes dívitum. Sæpe contíngit, ut eléctus quisque, qui ad ætérnam felicitátem dúcitur, contínua hic adversitáte deprimátur; non hunc rerum abundántia f"
Commune,Commune/C5.txt,312,Commune Confessoris non pontificis,Lectio7 in 2 loco,Lectio7-9,3,Beda Venerabilis,Expositio in Lucam / homiliae de tempore,"Lib. 4, Cap. 54, in Luc. 12",Homilía sancti Bedæ Venerábilis Presbýteri,"Pusíllum gregem electórum, vel ob comparatiónem majóris númeri reprobórum, vel pótius ob humilitátis devotiónem nóminat: quia vidélicet Ecclésiam suam quantálibet numerositáte jam "
Commune,Commune/C5.txt,328,Commune Confessoris non pontificis,Lectio7 in 3 loco,Lectio7-8,2,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,Lib. 8. in Lucam.,Homilía sancti Ambrósii Epíscopi,"Bonus ordo, ut vocatúrus gentes, et Judǽos jussúrus intérfici, qui noluérunt regnáre supra se Christum, hanc præmítteret comparatiónem, ne dicerétur: Nihil déderat pópulo Judæórum,"
Commune,Commune/C6.txt,183,Commune Unius Virginis et Martyris,Lectio4,Lectio4-6,3,Ambrosius Mediolanensis,Sermones,"Lib. 1 de Virg., circa init.",Sermo sancti Ambrósii Epíscopi,"Quóniam hódie natális est Vírginis, invítat nunc integritátis amor, ut áliquid de virginitáte dicámus; ne, véluti tránsitu quodam præstrícta videátur, quæ principális est virtus. N"
Commune,Commune/C6.txt,218,Commune Unius Virginis et Martyris,Lectio7,Lectio7,1,Gregorius Magnus,Homiliae in Evangelia,Homilía 12 in Evangelia,Homilía sancti Gregórii Papæ,"Sæpe vos, fratres caríssimi, admóneo prava ópera fúgere, mundi hujus inquinaménta devitáre, sed hodiérna sancti Evangélii lectióne compéllor dícere, ut, et bona, quæ ágitis, cum ma"
Commune,Commune/C6.txt,347,Commune Unius Virginis et Martyris,Lectio4 in 2 loco,Lectio4-6,3,Cyprianus Carthaginiensis,Lib. de hab. Virg. n. 3-5,Lib. de hab. Virg. n. 3-5,"Ex libro S. Cypriáni, Epíscopi et Mártyris, de disciplína et hábitu Vírginum","Nunc nobis ad vírgines sermo est, quarum quo sublímior glória est, major et cura est. Flos est ille ecclesiástici gérminis, decus atque ornaméntum grátiæ spiritális, læta índoles, "
Commune,Commune/C6.txt,371,Commune Unius Virginis et Martyris,Lectio7 in 3 loco,Lectio7-9,3,Ioannes Chrysostomus,Homiliae in Matthaeum,"Homilia 63 in Matth., sub med.",Homilía S. Joánnis Chrysostomi,"Dóminus noster, quia ad virginitátem hortári grave esse videbátur, a necessitáte legis de non solvéndo matrimónio, eos ad cupiditátem illíus tráhere studet. Deínde, ut eam esse pos"
Commune,Commune/C7.txt,80,Commune Unius non Virginis Martyris,Lectio4,Lectio4-6,3,Ambrosius Mediolanensis,Prope finem,Prope finem,Ex Libro Sancti Ambrósii Epíscopi de Víduis,"Agrum hunc Ecclésiæ fértilem cerno, nunc integritátis flore vernántem, nunc viduitátis gravitáte polléntem, nunc étiam conjúgii frúctibus redundántem. Nam, etsi divérsi, uníus tame"
Commune,Commune/C7.txt,103,Commune Unius non Virginis Martyris,Lectio7,Lectio7-9,3,Gregorius Magnus,Homiliae in Evangelia,Homilia 11 in Evangelia,Homilía sancti Gregórii Papæ,"Cælórum regnum, fratres caríssimi, idcírco terrénis rebus símile dícitur, ut, ex his quæ ánimus novit, surgat ad incógnita, quæ non novit: quátenus exémplo visibílium se ad invisib"
Commune,Commune/C7.txt,162,Commune Unius non Virginis Martyris,Lectio4 in 2 loco,Lectio4-6,3,Ioannes Chrysostomus,Sermones,Serm. 67. de diversis novi Testamenti locis.,Sermo sancti Joánnis Chrysóstomi.,"Ego máxime commemoratiónes díligo Mártyrum, díligo, et ampléctor; atque omnes quidem, sed tum præcípue, cum mulíerum certámina proponúntur. Quanto enim infírmius est vas, tanto maj"
Commune,Commune/C8.txt,195,Commune Dedicationis Ecclesiae,Lectio4,Lectio4-6,3,Augustinus Hipponensis,Sermones,Sermo 252 de Tempore,Sermo sancti Augustini Episcopi,"Quotiescúmque, fratres caríssimi, altáris vel templi festivitátem cólimus, si fidéliter ac diligénter atténdimus et sancte ac juste vívimus, quidquid in templis manufáctis ágitur, "
Commune,Commune/C8.txt,230,Commune Dedicationis Ecclesiae,Lectio7,Lectio7-9,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Lib. 8 in Luc., prope finem",Homilía sancti Ambrósii Epíscopi,"Zachǽus, statúra pusíllus, hoc est, nulla nobilitátis ingénitæ dignitáte sublímis, exíguus méritis sicut pópulus natiónum, audíto Dómini Salvatóris advéntu, quem sui non recéperant"
Commune,Commune/C8.txt,400,Commune Dedicationis Ecclesiae,Lectio4 in 2 loco,Lectio4-6,3,Unklarer Autor,In Psalm. 121,In Psalm. 121,,"Jerúsalem, quæ ædificátur ut cívitas. Fratres, quando dicébat ista David, perfécta erat illa cívitas, non ædificabatur. Néscio quam ergo civitátem dicit, quæ modo ædificátur, ad qu"
Commune,Commune/C8.txt,415,Commune Dedicationis Ecclesiae,Lectio7 in 2 loco,Lectio7-9,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Lib. 8 in Luc., in fine",De Homilía sancti Ambrósii Epíscopi,"Et conféstim, inquit, vidit, et sequebatur illum, magníficans Dóminum. Áliter enim non vidéret, nisi sequeretur Christum, nisi Dóminum prædicáret, nisi sǽculum præteriret. Cum diví"
Commune,Commune/C8.txt,426,Commune Dedicationis Ecclesiae,Lectio4 in 3 loco,Lectio4-5,2,Augustinus Hipponensis,Sermones,Serm. 256. de Tempore.,Sermo sancti Augustíni Epíscopi.,"Celebritas hujus congregatiónis, dedicatio est domus oratiónis. Domus ergo nostrárum oratiónum ista, domus autem Dei nos ipsi. Si domus Dei nos ipsi, nos in hoc sǽculo ædificamur, "
Commune,Commune/C8.txt,441,Commune Dedicationis Ecclesiae,Lectio7 in 3 loco,Lectio7-9,3,Ambrosius Mediolanensis,Expositio evangelii secundum Lucam,"Ex Lib. 8 in Luc., prope finem",De Homilía sancti Ambrósii Epíscopi,"Quæ autem turba, nisi imperitæ confúsio multitúdinis, quæ vérticem nequit vidére sapiéntiæ? Ergo Zachǽus quámdiu in turba est, non videt Christum: supra turbam ascéndit, et vidit: "
Commune,Commune/C8.txt,452,Commune Dedicationis Ecclesiae,Lectio4 in 4 loco,Lectio4-6,3,Augustinus Hipponensis,Sermones,Ex Serm. 256. de Tempore.,De Sermóne sancti Augustíni Epíscopi.,"Atténdite in psalmo dedicationis, quem modo cantavimus, ex ruína ædificiorum. Conscidísti saccum meum: hoc pértinet ad ruinam. Quid ergo ad ædificium? Et accinxisti me lætítia. Vox"
Commune,Commune/C8.txt,467,Commune Dedicationis Ecclesiae,Lectio7 in 4 loco,Lectio7-9,3,Gregorius Magnus,Moralia in Iob,"Lib. 27 in Moralium, cap. 27 post medium",Homilía sancti Gregórii Papæ,"Si veraciter sapiéntes esse, atque ipsam sapiéntiam contemplári appetimus, stultos nos humíliter cognoscámus. Relinquamus noxiam sapiéntiam, discamus laudabilem fatuitatem. Hinc qu"
Commune,Commune/C8.txt,478,Commune Dedicationis Ecclesiae,Lectio4 in 5 loco,Lectio4-6,3,Augustinus Hipponensis,Sermones,Ex Serm. 256. de Tempore.,De Sermóne sancti Augustíni Epíscopi.,"Modo, quando implentur ecclésiæ, putamus jucundari Judǽos? Ecclésiæ ædificantur, dedicantur, implentur: quómodo illi jucundantur? Non solum non jucundantur, sed étiam confundúntur,"
Commune,Commune/C8.txt,493,Commune Dedicationis Ecclesiae,Lectio7 in 5 loco,Lectio7-9,3,Beda Venerabilis,Expositio in Lucam / homiliae de tempore,Lib. 5. Cap. 77. in Luc. 19,Homilía venerábilis Bedæ Presbyteri.,"Quæ impossibilia sunt apud hómines, possibilia sunt apud Deum. Ecce enim camélus, deposita gibbi sárcina, per forámen acus transit, hoc est, dives et publicanus, relícto ónere divi"
